Format Version,1.23,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Type,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker
372,3.1,,,,85.147171,1451.43811,1591.238403,-172.203323,1319.092651,1532.694702,-390.599365,1344.711548,1531.274292,178.553482,891.111328,1385.9021,121.853882,1055.078857,1482.948242
373,3.108,,,,86.273369,1451.190796,1586.765625,-171.077927,1318.862427,1528.31958,-389.697845,1344.258911,1526.766113,178.6931,891.092102,1382.230103,122.271912,1054.710449,1479.963501
374,3.117,,,,87.223969,1451.005005,1582.337036,-169.839981,1318.764526,1523.971802,-388.518677,1344.007935,1522.478149,178.751678,890.985352,1378.668945,122.921555,1054.615845,1475.803955
375,3.125,,,,88.397202,1450.716553,1577.807129,-168.745102,1318.157349,1519.452393,-387.44754,1343.771606,1518.384888,178.982391,890.686584,1375.754395,123.379654,1054.354736,1472.908813
376,3.133,,,,89.501472,1450.381958,1573.48645,-167.671021,1317.913208,1515.016602,-386.395538,1343.345093,1513.747681,178.991272,890.542358,1372.183472,124.220924,1054.290405,1468.991821
377,3.142,,,,90.811905,1449.963867,1568.943848,-166.39241,1317.666138,1510.613159,-385.29303,1343.14209,1509.526123,179.159103,890.5224,1368.209595,124.910339,1054.023315,1466.043701
378,3.15,,,,92.045082,1449.619263,1564.613647,-165.125214,1317.247192,1506.130371,-384.079315,1342.923096,1505.059448,179.456131,890.35144,1365.318115,125.869263,1054.06897,1461.984009
379,3.158,,,,93.40696,1449.257935,1560.219604,-163.947937,1317.044556,1501.749268,-382.966492,1342.551392,1500.572632,179.862656,890.158997,1360.803101,126.594902,1053.720825,1458.956177
380,3.167,,,,94.804794,1448.763916,1555.931152,-162.4879,1316.630127,1497.273438,-381.770325,1342.381958,1496.108032,180.044998,889.903259,1356.906616,127.712921,1053.644653,1454.663086
381,3.175,,,,96.276939,1448.220581,1551.541138,-160.963837,1316.394287,1492.914062,-380.411469,1342.24646,1491.733521,180.372925,889.494629,1353.498413,128.540253,1053.412109,1451.025024
382,3.183,,,,97.743889,1447.672241,1547.22937,-159.259171,1316.230591,1488.356445,-379.030426,1341.883057,1487.013794,180.609833,888.890198,1349.800537,129.693024,1053.114014,1446.637207
383,3.192,,,,99.208664,1447.033813,1542.964233,-158.229279,1315.619263,1483.8125,-377.755951,1341.579224,1482.494873,181.073471,888.435974,1345.711182,130.748825,1052.871948,1442.970581
384,3.2,,,,100.906219,1446.34436,1538.490234,-156.270676,1315.584473,1479.654053,-376.588989,1341.481201,1477.886475,181.752472,888.161987,1340.737061,132.050217,1052.460815,1438.467285
385,3.208,,,,102.428596,1445.748413,1534.243774,-154.637863,1315.166504,1475.171387,-375.294434,1341.290894,1473.219116,182.266373,887.220459,1337.089722,133.299789,1051.994751,1434.207275
386,3.217,,,,104.031342,1445.030762,1529.907471,-153.140121,1314.854248,1470.320068,-373.919739,1341.134277,1468.816406,182.715195,886.44519,1332.81311,134.534241,1051.508179,1429.814209
387,3.225,,,,105.626282,1444.336304,1525.570557,-151.28299,1313.942871,1467.350708,-372.285706,1340.93457,1464.222046,183.660141,885.679016,1328.148193,136.07402,1050.9823,1424.570312
388,3.233,,,,107.19381,1443.858398,1521.347046,-150.125229,1313.863892,1462.425659,-370.684021,1340.853394,1459.685181,184.694595,884.852051,1323.760986,137.085419,1050.259521,1420.457642
389,3.242,,,,108.948555,1443.244141,1517.040771,-148.394516,1313.770508,1456.874634,-369.106812,1340.607422,1455.262695,185.441528,883.972473,1319.095825,138.482101,1049.815674,1415.100098
390,3.25,,,,110.533295,1442.814941,1512.910889,-146.936295,1313.631348,1452.192749,-367.469635,1340.421387,1450.766602,186.776108,883.440002,1313.626465,139.457703,1048.96582,1410.503662
391,3.258,,,,112.227028,1442.460693,1508.711914,-145.267151,1313.343018,1447.860474,-365.84671,1340.26123,1446.313232,187.792404,882.438843,1309.338745,140.789169,1048.496216,1405.167847
392,3.267,,,,113.733063,1442.158569,1504.600464,-143.830185,1313.06189,1444.038818,-364.406494,1340.132446,1441.967651,189.190765,881.883728,1304.440796,141.968689,1047.918945,1400.359253
393,3.275,,,,115.353989,1442.058838,1500.468262,-142.246246,1313.047607,1438.93689,-362.828278,1340.019897,1437.601929,190.528671,881.251465,1300.119507,143.143066,1047.548462,1395.51416
394,3.283,,,,116.846725,1441.886353,1496.447266,-140.867004,1313.250244,1434.353882,-361.288483,1339.961548,1433.254395,192.024689,881.081726,1294.809692,144.711853,1047.245483,1389.94104
395,3.292,,,,118.402336,1441.831421,1492.320801,-139.301956,1313.205078,1429.810547,-359.72522,1339.829956,1428.785645,193.518753,880.671265,1290.300537,145.755295,1047.022217,1385.596436
396,3.3,,,,119.854942,1441.783691,1488.276367,-137.89502,1313.269165,1425.614868,-358.365326,1339.755249,1424.469116,195.25209,880.812195,1284.763184,147.123917,1046.855469,1380.732178
397,3.308,,,,121.277405,1441.824707,1484.140869,-136.446442,1313.28479,1421.706909,-356.954712,1339.917969,1420.078979,196.838974,880.660828,1280.446289,148.519272,1046.978882,1375.576538
398,3.317,,,,122.624954,1441.871338,1480.13269,-135.156845,1313.609741,1416.842529,-355.570251,1340.084473,1415.848389,198.814529,881.081299,1274.691528,149.89772,1047.090088,1370.797974
399,3.325,,,,124.081413,1441.978516,1475.891357,-133.710938,1313.911499,1413.054688,-354.063507,1340.200806,1411.389282,200.617172,881.232361,1270.145996,151.363068,1047.023438,1366.304321
400,3.333,,,,125.346779,1442.120361,1471.786377,-132.337753,1314.074341,1408.87207,-352.673218,1340.53418,1407.014038,202.500519,881.556458,1265.291992,152.811981,1047.165161,1361.884399
401,3.342,,,,126.594765,1442.183228,1467.596558,-131.185699,1314.323242,1404.956055,-351.322723,1340.754395,1402.644043,204.63884,881.894897,1259.845337,154.468903,1047.369141,1357.075317
402,3.35,,,,127.865807,1442.400635,1463.42749,-130.116104,1314.76355,1399.949341,-349.970306,1341.229614,1398.185669,206.509979,881.878357,1255.664917,156.147415,1047.403931,1352.079712
403,3.358,,,,128.97551,1442.491333,1459.377319,-129.025528,1315.081543,1395.780518,-348.655884,1341.661255,1393.855957,208.521271,882.172974,1250.721069,157.544281,1047.528076,1347.916504
404,3.367,,,,130.289413,1442.695679,1455.074829,-127.803398,1315.188843,1393.563965,-347.331635,1342.296997,1389.601318,210.734665,882.377563,1245.766357,159.01239,1047.547607,1343.517822
405,3.375,,,,131.411316,1442.814575,1450.945557,-126.654984,1315.6604,1389.22229,-345.980774,1342.962036,1385.421753,212.519684,882.163452,1241.786865,159.461258,1046.648438,1342.088989
406,3.383,,,,132.44368,1443.009644,1446.849487,-125.883224,1316.363647,1384.210571,-344.656097,1343.661743,1381.340332,214.450546,882.474976,1236.690308,162.011139,1047.852783,1333.961792
407,3.392,,,,133.618317,1443.210815,1442.628418,-124.810509,1316.898682,1380.39624,-343.397003,1344.482666,1377.037109,216.508926,882.641907,1232.125854,162.506241,1047.355347,1332.013184
408,3.4,,,,134.701324,1443.319946,1438.64978,-123.68573,1317.49707,1375.940308,-342.326477,1345.245239,1372.973877,218.055405,882.335388,1228.224121,164.068771,1047.612671,1326.983032
409,3.408,,,,135.731781,1443.563477,1434.681763,-122.869774,1318.238647,1371.253784,-341.355316,1346.089966,1368.835938,219.972382,882.593384,1223.492554,165.50206,1047.977295,1322.163086
410,3.417,,,,136.855194,1443.657593,1430.671509,-122.041794,1318.937378,1366.847778,-340.425507,1347.094727,1364.757324,221.535034,882.661377,1219.373657,167.082809,1048.577026,1316.915039
411,3.425,,,,137.960495,1443.879639,1426.702271,-120.939316,1319.307739,1364.459473,-339.547516,1348.100098,1360.814697,223.163589,882.886353,1214.578369,168.187592,1048.576782,1312.897217
412,3.433,,,,139.015472,1444.05127,1422.846191,-120.051727,1319.861694,1361.178589,-338.670319,1349.161865,1356.858032,224.657272,882.666992,1211.002441,169.623138,1048.971436,1308.140137
413,3.442,,,,139.977402,1444.338989,1419.023926,-119.530708,1320.595215,1356.930298,-337.717804,1350.164673,1352.892822,226.151474,882.91925,1206.505615,170.83847,1049.318481,1303.660522
414,3.45,,,,140.958893,1444.623657,1415.224487,-118.77536,1321.327148,1352.94165,-336.829803,1351.173706,1348.904053,227.493195,883.052429,1202.53125,172.127701,1049.642578,1299.046997
415,3.458,,,,141.755249,1444.870361,1411.482056,-117.7798,1321.772827,1350.251953,-336.141846,1352.188965,1345.320923,229.023849,882.984802,1198.615967,173.111984,1049.702881,1294.898682
416,3.467,,,,142.637299,1445.288696,1407.691895,-117.216034,1322.24707,1347.391357,-335.380554,1353.080566,1341.453857,230.207031,882.828979,1195.01062,174.047394,1049.922974,1290.770264
417,3.475,,,,143.553741,1445.587402,1403.927734,-116.765862,1322.845459,1344.175171,-334.624451,1354.016602,1337.605347,231.583038,883.185181,1190.753784,175.052307,1050.151367,1286.446655
418,3.483,,,,144.358582,1446.025879,1400.176392,-116.260651,1323.746826,1339.655396,-334.041473,1354.853638,1334.088379,232.703201,882.972473,1187.676758,175.93924,1050.199097,1282.361938
419,3.492,,,,145.176147,1446.494629,1396.444214,-115.33239,1324.239868,1336.810913,-333.490753,1355.670776,1330.241577,234.136826,883.00415,1183.420898,176.661438,1050.326904,1278.370117
420,3.5,,,,145.821518,1446.895264,1392.666138,-114.982529,1325.018555,1332.930908,-332.702362,1356.363892,1325.815186,234.952698,882.957214,1180.440308,177.408188,1050.636597,1274.445312
421,3.508,,,,146.387115,1447.431274,1388.849487,-114.093819,1325.567993,1330.097534,-332.285278,1357.037842,1321.998413,235.867111,882.899841,1177.43335,177.789429,1050.555664,1270.982422
422,3.517,,,,147.007797,1447.879883,1385.039673,-113.814468,1325.985229,1327.521118,-331.769653,1357.697876,1318.359619,236.754486,882.925354,1173.791382,178.384796,1050.710327,1267.363892
423,3.525,,,,147.58963,1448.380737,1381.143555,-113.645683,1326.691406,1323.66272,-331.281708,1358.357788,1314.65979,237.357117,882.76947,1171.049438,178.838516,1050.758301,1264.130981
424,3.533,,,,148.020325,1448.914795,1377.213257,-113.193558,1327.543701,1319.058838,-330.782593,1359.047852,1310.805542,237.784805,882.781067,1168.342773,179.343155,1051.084717,1260.892822
425,3.542,,,,148.483643,1449.404907,1373.297363,-112.526756,1328.313721,1314.774902,-330.470978,1359.559814,1307.230225,238.170654,882.841614,1165.668701,179.627655,1051.228027,1258.100342
426,3.55,,,,148.895401,1449.906494,1369.384155,-112.048706,1328.94165,1311.085083,-330.01062,1360.163818,1303.369873,238.558441,883.055603,1162.818115,180.062408,1051.537964,1255.205688
427,3.558,,,,149.122772,1450.389404,1365.453857,-111.750229,1329.486572,1307.639282,-329.759277,1360.689087,1299.713257,238.720367,883.2995,1160.02771,180.451462,1051.690063,1252.581055
428,3.567,,,,149.429764,1450.789795,1361.638672,-111.229736,1329.744995,1305.225586,-329.446594,1361.094849,1295.88501,238.757614,883.628845,1157.2323,180.773132,1052.06189,1249.928101
429,3.575,,,,149.621246,1451.324463,1357.736572,-111.057716,1330.330688,1301.550049,-329.18515,1361.641357,1292.241577,238.729599,883.765747,1154.848267,181.031631,1052.209106,1247.500366
430,3.583,,,,149.71431,1451.716919,1354.131958,-110.90126,1330.729004,1298.210449,-329.08667,1362.042236,1288.524048,238.657623,883.932373,1152.717773,181.171844,1052.474731,1245.114014
431,3.592,,,,149.881454,1452.199097,1350.265137,-110.780411,1331.351685,1294.213257,-329.065338,1362.517578,1284.978516,238.450165,884.229736,1149.89917,181.286652,1052.72644,1242.740723
432,3.6,,,,149.997177,1452.605103,1346.517212,-110.596176,1331.708618,1291.082397,-328.921539,1362.960693,1281.163818,238.191925,884.418457,1147.453491,181.314789,1052.83606,1240.42688
433,3.608,,,,150.061646,1452.983521,1342.852295,-110.227669,1332.185181,1288.751831,-328.973145,1363.404053,1277.796387,237.928665,884.593506,1145.404053,181.33223,1053.043701,1238.080322
434,3.617,,,,150.007156,1453.337402,1339.216064,-110.276588,1332.660278,1285.425049,-329.090118,1363.913086,1274.182373,237.58873,884.811707,1143.1073,181.256531,1053.236816,1235.704834
435,3.625,,,,149.953293,1453.698608,1335.69458,-110.287521,1333.155151,1282.562012,-329.084137,1364.264038,1270.667969,237.366241,885.068848,1140.873413,181.161163,1053.312622,1233.47229
436,3.633,,,,149.841705,1454.046631,1332.075317,-110.397537,1333.372559,1279.499268,-329.217407,1364.716553,1267.013794,237.009705,885.291687,1138.71814,180.965729,1053.471924,1231.209717
437,3.642,,,,149.700851,1454.350952,1328.692505,-110.544678,1334.148315,1275.988892,-329.573578,1365.064453,1263.662231,236.648087,885.52417,1136.468506,180.70726,1053.642212,1228.983521
438,3.65,,,,149.420578,1454.664917,1325.254395,-110.819595,1334.531738,1272.419434,-329.421692,1365.42981,1259.9375,236.276306,885.572693,1134.365356,180.420715,1053.720947,1226.881958
439,3.658,,,,149.271393,1454.945068,1321.798584,-111.044632,1334.915527,1269.118408,-329.741425,1365.771851,1256.504028,236.040695,885.117493,1133.281982,180.050262,1053.815308,1224.719238
440,3.667,,,,148.846375,1455.183472,1318.586426,-111.355194,1335.43811,1265.528809,-330.051147,1366.069702,1252.779663,235.317627,885.999634,1129.621338,179.674728,1053.956421,1222.525879
441,3.675,,,,148.651566,1455.400757,1315.142822,-111.790161,1335.793823,1261.950562,-330.376556,1366.404541,1249.545166,234.855865,886.028931,1127.676392,179.293594,1053.890991,1220.372314
442,3.683,,,,148.192902,1455.621826,1311.965942,-112.121078,1336.084595,1259.168579,-330.73111,1366.768433,1245.926025,234.345062,886.041321,1125.568115,178.689362,1053.758301,1218.362305
443,3.692,,,,147.834839,1455.838989,1308.598145,-112.570213,1336.270142,1255.964966,-331.181396,1366.938965,1242.596313,233.773041,886.130005,1123.391724,178.217545,1053.682983,1216.225464
444,3.7,,,,147.323944,1456.070679,1305.572998,-113.078766,1336.575562,1252.789307,-331.516907,1367.113403,1239.005005,233.208511,886.307861,1121.214722,177.499756,1053.74646,1214.050659
445,3.708,,,,146.844681,1456.161377,1302.229614,-113.544617,1336.827026,1250.109131,-331.99231,1367.384644,1235.528442,232.594925,886.249695,1118.969116,176.923096,1053.632812,1211.902222
446,3.717,,,,146.24411,1456.429565,1299.177002,-114.19767,1337.033325,1247.266113,-332.58783,1367.55835,1232.202881,231.94133,885.489136,1118.150269,176.283066,1053.526367,1209.741211
447,3.725,,,,145.685852,1456.502441,1296.040405,-114.803391,1337.187012,1244.512939,-333.121704,1367.702393,1228.611328,231.095749,885.641724,1115.953491,175.420914,1053.384644,1207.66333
448,3.733,,,,144.934921,1456.612061,1293.019897,-115.492531,1337.383179,1241.43103,-333.700592,1367.838013,1225.286377,230.39888,885.71405,1113.647949,174.666748,1053.234131,1205.435181
449,3.742,,,,144.210403,1456.81311,1289.999634,-116.252419,1337.733276,1237.76355,-334.337677,1367.955688,1221.994629,229.65062,885.697998,1111.502075,173.870163,1053.301392,1203.185181
450,3.75,,,,143.508682,1456.864502,1287.001831,-116.876602,1337.766113,1235.345337,-335.055267,1368.013062,1218.37146,228.793777,885.935608,1108.990967,172.951141,1053.225708,1201.087158
451,3.758,,,,142.609222,1456.985229,1284.036011,-117.456131,1337.078369,1234.22168,-335.837799,1368.015503,1215.080933,228.07254,885.950623,1106.798218,172.096603,1053.126953,1198.839355
452,3.767,,,,141.674927,1457.08728,1281.174805,-118.194687,1337.246582,1231.50293,-336.701416,1368.007935,1211.695312,227.053085,886.72937,1102.889893,171.17308,1053.070801,1196.650757
453,3.775,,,,140.765656,1457.188599,1278.263672,-119.010834,1337.439819,1228.78772,-337.331299,1367.957153,1208.12854,226.342682,886.231445,1101.753052,170.19812,1052.980347,1194.311523
454,3.783,,,,139.807312,1457.24646,1275.279175,-120.193687,1337.594971,1225.886475,-338.242188,1367.974854,1204.922119,225.439575,886.334778,1099.265503,169.293732,1052.976196,1191.910278
455,3.792,,,,138.630463,1457.258423,1272.430298,-121.175476,1337.481567,1223.097778,-339.3526,1367.906616,1201.741943,224.504776,886.486755,1096.78479,168.145584,1052.886963,1189.574097
456,3.8,,,,137.561478,1457.340088,1269.495117,-122.186226,1337.305786,1220.367065,-340.4487,1367.819336,1198.578125,223.561752,886.75177,1094.182617,167.179214,1052.784912,1187.22229
457,3.808,,,,136.347458,1457.348389,1266.682739,-123.346291,1337.422852,1217.465332,-341.524384,1367.723145,1195.421387,222.746857,886.938782,1091.547119,165.967438,1052.744629,1184.856689
458,3.817,,,,135.079117,1457.287964,1263.907593,-124.744774,1337.339478,1214.679565,-342.669647,1367.57312,1192.279297,221.843109,887.248901,1088.694336,164.867081,1052.757446,1182.226807
459,3.825,,,,133.773224,1457.208252,1261.11084,-125.969948,1337.314819,1211.830444,-343.902679,1367.414307,1189.182861,220.762024,888.226074,1084.478516,163.769547,1052.59668,1179.739258
460,3.833,,,,132.462402,1457.133911,1258.171265,-127.265099,1336.953857,1209.043457,-345.227264,1367.103516,1186.165894,219.964035,887.848022,1082.882446,162.402725,1052.451172,1177.256958
461,3.842,,,,131.07193,1456.989258,1255.362427,-128.829575,1337.074951,1206.065063,-346.707428,1366.976318,1183.40332,218.925018,888.285034,1079.735596,161.157715,1052.345581,1174.721802
462,3.85,,,,129.65947,1456.869507,1252.446167,-130.307602,1336.643433,1203.438599,-348.293854,1366.766113,1180.690063,217.843781,888.805664,1076.66687,159.905258,1052.270752,1172.15686
463,3.858,,,,128.128647,1456.705566,1249.618164,-131.608063,1336.423584,1200.682495,-349.774689,1366.666138,1178.05896,216.833572,889.238953,1073.498779,158.641891,1052.236328,1169.349243
464,3.867,,,,126.508133,1456.610718,1246.691528,-133.362656,1336.44043,1197.88623,-351.253632,1366.609863,1175.405762,215.72644,889.895081,1070.072388,157.357178,1052.007446,1166.711548
465,3.875,,,,124.954857,1456.447388,1243.792236,-135.049118,1336.221436,1195.059814,-352.94986,1366.456177,1172.867065,214.75351,890.380249,1066.674805,155.913162,1051.955688,1163.957153
466,3.883,,,,123.296051,1456.273438,1240.825684,-136.589813,1336.005859,1192.469604,-354.741425,1366.25415,1170.52832,213.705063,890.938354,1063.117798,154.559708,1051.918945,1160.887329
467,3.892,,,,121.550713,1456.112915,1237.950928,-138.539734,1335.807983,1189.717285,-356.580841,1366.0625,1168.237427,212.524933,891.463257,1059.429077,153.181473,1051.874878,1158.080322
468,3.9,,,,119.789665,1455.927979,1235.112061,-140.045059,1335.609131,1187.042847,-358.283783,1365.900513,1165.842285,211.430191,891.93988,1055.77832,152.07872,1051.683594,1154.12915
469,3.908,,,,118.018105,1455.735107,1232.247314,-142.040466,1335.425781,1184.429199,-360.119629,1365.608765,1163.534668,210.331055,892.373413,1052.265869,150.717957,1051.709717,1150.629761
470,3.917,,,,116.085052,1455.655273,1229.385986,-143.969803,1335.257202,1181.581787,-361.99884,1365.476562,1161.185669,209.177719,892.940613,1048.480103,149.171249,1051.723267,1147.625488
471,3.925,,,,114.312592,1455.561157,1226.582397,-145.758667,1335.043701,1179.092773,-363.995422,1365.211182,1158.952515,208.044662,893.289612,1044.855713,147.772797,1051.985474,1144.155518
472,3.933,,,,112.422745,1455.373657,1223.79187,-147.636246,1334.737671,1176.526245,-365.835083,1364.966553,1156.610352,206.930069,893.706848,1041.036377,146.197891,1052.106689,1140.708618
473,3.942,,,,110.491638,1455.195435,1221.023438,-149.533951,1334.680298,1173.900635,-367.883728,1364.730591,1154.361328,205.79216,894.059937,1037.172974,144.721664,1052.202393,1137.111938
474,3.95,,,,108.648338,1455.061646,1218.16394,-151.521255,1334.576904,1171.326904,-369.745636,1364.486084,1152.041748,204.484329,894.383911,1033.312378,143.22789,1052.356445,1133.307373
475,3.958,,,,106.615486,1454.984009,1215.390991,-153.336777,1334.238892,1168.719971,-371.850586,1364.295288,1149.841919,203.114624,894.707458,1029.449463,141.674744,1052.592041,1129.670532
476,3.967,,,,104.749657,1454.880737,1212.535522,-155.353409,1334.174927,1166.12439,-373.706665,1363.978516,1147.476196,201.56398,895.047058,1025.564575,140.003983,1052.758911,1125.797974
477,3.975,,,,102.836311,1454.755737,1209.803711,-157.246368,1334.116943,1163.535156,-375.761444,1363.919189,1145.311401,200.086792,895.142395,1021.692627,138.416077,1053.006348,1122.165283
478,3.983,,,,100.893028,1454.645752,1207.034058,-159.278275,1333.991943,1160.983887,-377.492554,1363.848145,1142.904175,198.52713,895.311707,1017.785767,136.758591,1052.984009,1118.327759
479,3.992,,,,99.011833,1454.536133,1204.269165,-160.969284,1333.805176,1158.26123,-379.619629,1363.760986,1140.706299,196.758347,895.381042,1014.020447,135.02092,1053.18103,1114.572998
480,4,,,,97.174759,1454.414429,1201.499146,-163.100815,1333.851196,1155.654419,-381.360138,1363.794678,1138.265747,195.039139,895.315063,1010.343201,133.197235,1053.289185,1110.81189
481,4.008,,,,95.286537,1454.287231,1198.739502,-165.012161,1333.878418,1152.885376,-383.478149,1363.890869,1135.969238,193.152359,895.393433,1006.440186,131.3125,1053.337402,1107.258667
482,4.017,,,,93.495262,1454.139404,1195.965942,-166.873322,1333.776733,1150.09668,-385.334473,1363.90625,1133.580444,191.155334,895.348572,1002.784729,129.435684,1053.380981,1103.632568
483,4.025,,,,91.648285,1454.0271,1193.190308,-168.79277,1333.886108,1147.376221,-387.389496,1363.946655,1131.29541,189.158752,895.390686,998.997131,127.581734,1053.362305,1099.980469
484,4.033,,,,89.889572,1453.933716,1190.428101,-170.673401,1333.921631,1144.615234,-389.169861,1364.02124,1128.716187,187.378204,895.222351,995.416565,125.634567,1053.344849,1096.587891
485,4.042,,,,88.215424,1453.785645,1187.554199,-172.501144,1333.797852,1141.892456,-391.04892,1364.172119,1126.245483,185.185623,895.076782,991.90863,123.684471,1053.376953,1093.116211
486,4.05,,,,86.456886,1453.625,1184.867676,-174.254547,1333.963989,1139.05249,-392.746826,1364.447998,1123.677612,183.217758,895.17627,988.164124,121.795929,1053.377075,1089.842163
487,4.058,,,,84.731865,1453.543701,1182.127808,-176.113724,1334.075073,1136.318115,-394.659882,1364.676025,1121.189453,181.009369,895.236023,984.635376,120.007812,1053.292725,1086.611694
488,4.067,,,,83.067108,1453.442871,1179.438354,-177.770248,1334.019043,1133.440186,-396.238373,1364.902954,1118.580811,179.068619,895.369507,981.10321,118.149658,1053.172974,1083.42981
489,4.075,,,,81.482506,1453.331787,1176.700806,-179.436005,1334.055298,1130.67749,-397.839233,1365.255005,1115.662598,176.947525,895.313354,977.634644,116.3339,1053.235229,1080.407471
490,4.083,,,,79.753929,1453.016479,1173.551025,-181.144241,1334.280518,1127.881348,-399.615265,1365.491089,1113.046875,174.976578,895.410156,974.322449,114.58831,1053.31189,1077.281372
491,4.092,,,,78.112343,1452.935303,1170.839111,-182.694763,1334.521851,1125.077515,-400.984436,1365.774536,1110.172119,173.03038,895.857056,970.865051,112.848869,1053.515503,1074.427246
492,4.1,,,,76.526917,1452.96936,1168.299927,-184.213776,1334.607422,1122.300903,-402.587555,1366.224243,1107.402222,170.95163,896.155457,967.648865,111.352386,1053.700439,1071.250488
493,4.108,,,,75.02813,1453.121948,1165.835815,-185.573883,1334.875244,1119.452026,-403.958374,1366.5177,1104.724365,169.18074,896.513855,964.462463,109.921555,1054.038208,1068.467407
494,4.117,,,,73.650146,1453.293091,1163.274658,-186.951736,1335.274048,1116.653198,-405.23111,1366.846191,1101.884766,167.403107,897.045532,961.357422,108.536301,1054.484375,1065.556885
495,4.125,,,,72.275505,1453.458618,1160.874023,-188.366531,1335.56189,1113.871216,-406.604858,1367.173584,1099.016602,165.587769,897.328491,958.654419,106.96904,1054.810059,1062.799194
496,4.133,,,,71.080879,1453.709229,1158.40564,-189.556717,1335.791016,1111.057251,-407.884949,1367.455688,1096.284912,163.973083,897.670288,955.859985,105.768425,1055.366943,1059.881348
497,4.142,,,,69.810471,1453.983276,1155.88501,-190.578766,1335.985107,1108.340698,-408.9151,1367.797729,1093.387451,162.508957,897.517578,953.333679,104.340103,1055.777954,1057.307617
498,4.15,,,,68.700172,1454.252197,1153.350098,-191.693619,1336.294067,1105.59729,-409.992035,1368.195435,1090.603271,160.733673,898.119507,950.684265,103.076416,1056.124756,1054.799927
499,4.158,,,,67.771027,1454.640381,1150.804077,-192.826782,1336.619141,1103.012695,-410.994049,1368.442383,1087.740723,159.207474,897.610046,949.020508,101.867241,1056.739624,1052.150024
500,4.167,,,,66.686722,1454.956055,1148.319702,-193.728256,1336.954468,1100.370239,-411.928955,1368.770264,1084.826294,158.010529,898.54126,945.981689,100.38237,1056.866211,1049.785645
501,4.175,,,,65.721191,1455.376465,1145.831543,-194.65593,1337.201416,1097.694336,-412.787079,1369.089478,1081.983276,156.716446,898.469116,943.751465,99.021973,1056.971069,1047.272095
502,4.183,,,,64.848808,1455.791138,1143.334839,-195.461716,1337.527954,1095.140991,-413.735962,1369.518677,1079.311768,155.241592,897.781128,942.564819,97.768768,1057.371826,1044.819336
